1,Elizabeth Robinson Montagu
2,James Beattie
3,Hester Thrale Piozzi
4,Matthew Robinson
5,Agatha Drummond
6,Anne Donnellan
7,Sarah Robinson Scott
8,Eva Maria Garrick
9,Edmund Burke
10,Edward Montagu
11,Elizabeth Drake Robinson
12,"Elizabeth Harcourt, Countess Harcourt"
13,"George Simon Harcourt, 2nd Earl Harcourt"
14,Grace Robinson Freind
15,William Freind
16,"Henry Home, Lord Kames"
17,"Margaret Cavendish Bentinck, Duchess of Portland"
18,Mary Anstey
19,"Mary Catherine Knollys, Viscountess Wallingford"
20,Barbara Montagu
21,Benjamin Stillingfleet
22,Gilbert West
23,"Charles Lyttelton, Bishop of Carlisle"
24,Edward Bridgen
25,Elizabeth Carter
26,Elizabeth Vesey
27,Frances Boscawen
28,Frances Pulteney
29,Frances Reynolds
30,"George Lyttelton, 1st Baron Lyttelton"
31,"George Macartney, 1st Earl Macartney"
32,James Harris
33,John Dickenson
34,John Wright
35,Leonard Smelt
36,Mary Hamilton
37,Mary Richardson Robinson
38,Messenger Monsey
39,Morris Robinson sr
40,Mrs Kennet
41,Pierre Francois Le Courayer
42,Sarah Robinson Truman
43,"Thomas Lyttelton, 2nd Baron Lyttelton"
44,William King
45,"William Pulteney, Earl of Bath"
46,William Weller Pepys
47,Matthew Montagu
48,"William Henry Lyttelton, Lord Westcote"
49,John Gregory
50,Horace Walpole
51,Mrs Newenham
52,Grace Freind Campbell
53,Ann Dillingham Ord
54,"Catharina Lydia Brydres, Duchess of Chandos"
55,Sarah Sloane Stanley
56,"Philip Yorke, 2nd Earl Hardwicke"
57,Eliza Berkeley
58,Elizabeth Charlton
59,John Douglas
60,George Wilson
61,Jane Smelt
62,John Burrows
63,Mrs Cholmely
64,Miss Cadogan
65,Hugh Blair
66,Jane Greenland Robinson
67,William Robertson
68,Matthew Boulton
69,Matthew Robinson Morris
70,Charles Robinson
71,Joshua Reynolds
72,Sarah Robinson Hougham
